what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1418754605663
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1418754605663
java.specification.name,sysinfo,,,"Java Platform API Specification",1418754605663
java.specification.vendor,sysinfo,,,"Oracle Corporation",1418754605663
java.specification.version,sysinfo,,,"1.7",1418754605663
java.vendor,sysinfo,,,"Oracle Corporation",1418754605663
java.version,sysinfo,,,"1.7.0_45",1418754605663
java.vm.info,sysinfo,,,"mixed mode",1418754605663
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1418754605663
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1418754605663
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1418754605663
java.vm.specification.version,sysinfo,,,"1.7",1418754605663
java.vm.vendor,sysinfo,,,"Oracle Corporation",1418754605663
java.vm.version,sysinfo,,,"24.45-b08",1418754605663
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1418754605679
started,bundle,org.eclipse.sapphire.workspace,0.5.3.201209191432,"org.eclipse.sapphire.workspace",1418754606053
started,bundle,org.eclipse.sapphire.modeling.xml,0.5.3.201209191432,"org.eclipse.sapphire.modeling.xml",1418754606100
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1418754606709
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1418754607021
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1418754607161
started,bundle,oracle.eclipse.tools.common.upgrade,4.3.1.201209271754,"oracle.eclipse.tools.common.upgrade",1418754607161
started,bundle,oracle.eclipse.tools.xmlbeans,4.3.1.201209271754,"oracle.eclipse.tools.xmlbeans",1418754607426
started,bundle,oracle.eclipse.tools.envcheck,4.3.1.201209271754,"oracle.eclipse.tools.envcheck",1418754607676
