what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448033301834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448033362183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448033370687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448033371761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448033375218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448033387278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448033388703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448033389451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448033391982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034247188
started,bundle,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.ui",1448034254256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1448034254398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448034257603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034259902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034266290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448034269215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448034283281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448034285117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448034286380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034287702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034313353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448034327885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448034330473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034335923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034376004
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448034377744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034381851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034403200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034403854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034417903
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1448034418514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034430891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034431077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448034435052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448034435670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034438578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034544093
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034573530
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034573816
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034574069
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034574239
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034574503
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034574767
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034578033
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034578296
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034578542
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1448034578783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1448034595841
executed,command,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui.format.document",1448034596774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448034598453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448034691339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448035194039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448035195363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1448035195386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448035199550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448035205017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448035205166
