what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error initializing facelet registry entry",1423415188169
error,log,,,"Error initializing facelet registry entry",1423415188175
error,log,,,"Error initializing facelet registry entry",1423415188187
error,log,,,"Error initializing facelet registry entry",1423415188192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423415197426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423415198085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423415201689
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1423415210284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415212006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415212402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415212424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415212506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423415212508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415228661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415236619
activated,editor,org.eclipse.jst.pagedesigner,1.3.103.v201109010833-p001,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1423415239410
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1423415245227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415259297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415263621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415263804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423415268350
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1423415268357
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1423415268515
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1423415268544
