what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.collapseAll",1419675453008
activated,editor,org.eclipse.wst.wsdl.ui,1.2.402.v201105050214,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1419675455504
activated,editor,org.eclipse.wst.wsdl.ui,1.2.402.v201105050214,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1419675482797
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1419675494545
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1419675528015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675531759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675539470
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1419675540843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675551281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675555852
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1419675555868
closed,editor,org.eclipse.wst.wsdl.ui,1.2.402.v201105050214,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1419675555930
closed,editor,org.eclipse.wst.wsdl.ui,1.2.402.v201105050214,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1419675555961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675567995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675626972
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1419675638272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675641112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675659492
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1419675660850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675670744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675674894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675677672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675688938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419675691095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675700850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675705826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675726017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675738999
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1419675744071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675747331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675763743
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1419675765319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675774242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675786242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675791956
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1419675795045
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/web_service_geo",1419675795045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675795123
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1419675795123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675806542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675874245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1419675874277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675875213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675881628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675892490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675904315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675922480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675926131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419675934399
